"tcs_no","main","midblock_route","side_one_route","side_two_route","activation_date","latitude","longitude","count_date","peak_eight_hr_vehicle_volume","peak_eight_hr_pedestrian_volume"
21," DUNDAS ST E ",""," CHURCH ST ","",1952-12-17T00:00:00.0000000,43.656498,-79.37713,2015-04-13T00:00:00.0000000,13764,10302
22," CHURCH ST ",""," GERRARD ST E ","",1941-07-18T00:00:00.0000000,43.65986,-79.3785248,2016-11-08T00:00:00.0000000,13437,15840
23," CHURCH ST ",""," CARLTON ST ","",1932-02-17T00:00:00.0000000,43.6618729,-79.37933,2017-01-28T00:00:00.0000000,11648,11072
24," CHURCH ST ",""," WELLESLEY ST E ","",1941-07-18T00:00:00.0000000,43.6657028,-79.38093,2017-01-18T00:00:00.0000000,12231,12520
25," BLOOR ST E ",""," CHURCH ST ","",1932-02-19T00:00:00.0000000,43.67102,-79.3831253,2018-01-11T00:00:00.0000000,18339,27313
26," ADELAIDE ST E ",""," VICTORIA ST ","",1928-09-27T00:00:00.0000000,43.6506538,-79.37725,2017-06-13T00:00:00.0000000,9968,18326
27," VICTORIA ST ",""," RICHMOND ST E ","",1927-11-03T00:00:00.0000000,43.65195,-79.3777542,2017-06-15T00:00:00.0000000,11767,10589
28," QUEEN ST E ",""," VICTORIA ST ","",1927-11-03T00:00:00.0000000,43.65267,-79.37807,2017-06-14T00:00:00.0000000,10087,24100
29," YONGE ST ",""," FRONT ST ","",1928-08-24T00:00:00.0000000,43.6468468,-79.37693,2016-09-17T00:00:00.0000000,10996,10950
30," YONGE ST ",""," WELLINGTON ST ","",1964-01-06T00:00:00.0000000,43.64785,-79.37735,2014-05-06T00:00:00.0000000,13620,26656
31," YONGE ST ",""," KING ST ","",1927-11-03T00:00:00.0000000,43.6491623,-79.37791,2016-09-17T00:00:00.0000000,10911,14579
32," YONGE ST ",""," ADELAIDE ST ","",1928-01-10T00:00:00.0000000,43.6504173,-79.37843,2016-09-17T00:00:00.0000000,12454,11224
33," YONGE ST ",""," RICHMOND ST ","",1927-11-03T00:00:00.0000000,43.6516953,-79.37897,2016-09-17T00:00:00.0000000,9390,19530
34," YONGE ST ",""," QUEEN ST ","",1927-11-03T00:00:00.0000000,43.65242,-79.37927,2016-09-17T00:00:00.0000000,10956,21936
35," YONGE ST ",""," SHUTER ST ","",1959-03-12T00:00:00.0000000,43.6540642,-79.37996,2017-01-17T00:00:00.0000000,9525,15491
36," YONGE ST ",""," DUNDAS ST ","",1927-04-04T00:00:00.0000000,43.6563263,-79.38091,2015-04-11T00:00:00.0000000,10925,34615
37," YONGE ST ",""," GERRARD ST ","",1929-07-09T00:00:00.0000000,43.65909,-79.3820953,2016-11-05T00:00:00.0000000,10019,21562
38," YONGE ST ",""," CARLTON ST "," COLLEGE ST ",1932-02-18T00:00:00.0000000,43.66137,-79.3830948,2014-05-05T00:00:00.0000000,13438,32030
39," YONGE ST ",""," WELLESLEY ST ","",1948-09-30T00:00:00.0000000,43.6649361,-79.38456,2016-11-05T00:00:00.0000000,9051,19591
40," BLOOR ST ",""," YONGE ST ","",1925-08-28T00:00:00.0000000,43.67023,-79.3867645,2018-01-11T00:00:00.0000000,14398,23335
41," YONGE ST ",""," CHURCH ST "," DAVENPORT RD ",1932-12-03T00:00:00.0000000,43.67288,-79.38785,2016-11-05T00:00:00.0000000,15532,7870
42," YONGE ST ",""," AYLMER AVE "," BELMONT ST ",1963-11-19T00:00:00.0000000,43.675602,-79.38895,2016-11-12T00:00:00.0000000,13870,3434
43," YONGE ST ",""," CRESCENT RD ","",1957-10-16T00:00:00.0000000,43.6769753,-79.389534,2016-11-12T00:00:00.0000000,10193,3758
44," YONGE ST ",""," MACPHERSON AVE "," ROWANWOOD AVE ",1948-04-10T00:00:00.0000000,43.67914,-79.39043,2012-04-25T00:00:00.0000000,15632,4127
45," YONGE ST ",""," SHAFTESBURY AVE "," ALCORN AVE ",1955-12-05T00:00:00.0000000,43.6820221,-79.39157,2014-05-06T00:00:00.0000000,14363,6199
46," YONGE ST ",""," ST CLAIR AVE ","",1927-04-05T00:00:00.0000000,43.688076,-79.3941,2014-05-03T00:00:00.0000000,20437,10303
47," YONGE ST ",""," CHAPLIN CRES "," DAVISVILLE AVE ",1930-06-14T00:00:00.0000000,43.6983,-79.3966,2018-01-24T00:00:00.0000000,19703,18330
48," YONGE ST ",""," MANOR RD ","",1956-12-11T00:00:00.0000000,43.702507,-79.39746,2009-08-19T00:00:00.0000000,14040,3776
49," YONGE ST ",""," EGLINTON AVE ","",1929-08-21T00:00:00.0000000,43.70675,-79.39831,2014-05-03T00:00:00.0000000,23360,20902
50," YONGE ST ",""," BROADWAY AVE "," MONTGOMERY AVE ",1957-02-12T00:00:00.0000000,43.7095528,-79.39894,2014-05-03T00:00:00.0000000,16937,14176
51," YONGE ST ",""," CASTLEFIELD AVE ","",1929-08-21T00:00:00.0000000,43.7118568,-79.39944,2012-07-10T00:00:00.0000000,15456,3080
52," YONGE ST ",""," BLYTHWOOD RD "," LYTTON BLVD ",1954-08-12T00:00:00.0000000,43.7166061,-79.40045,2012-04-23T00:00:00.0000000,19891,1438
53," YONGE ST ",""," GLENGROVE AVE ","",1961-07-06T00:00:00.0000000,43.7195549,-79.40109,2009-08-19T00:00:00.0000000,14632,1311
54," YONGE ST ",""," CHATSWORTH DR "," ST EDMUNDS DR ",1930-07-17T00:00:00.0000000,43.72197,-79.40156,2011-04-27T00:00:00.0000000,18003,1409
55," YONGE ST ",""," LAWRENCE AVE ","",1941-01-03T00:00:00.0000000,43.7251,-79.40219,2017-10-03T00:00:00.0000000,24489,9198
56," YONGE ST ",""," RANLEIGH AVE ","",1929-08-24T00:00:00.0000000,43.7278633,-79.40293,2011-06-27T00:00:00.0000000,18308,5040
57," YONGE ST ",""," FAIRLAWN AVE ","",1956-08-29T00:00:00.0000000,43.73091,-79.4037857,2014-05-06T00:00:00.0000000,19161,3893
58," YONGE ST ",""," YONGE BLVD "," PRIVATE ACCESS ",1955-10-12T00:00:00.0000000,43.7343674,-79.40459,2014-05-05T00:00:00.0000000,24567,2215
59," BAY ST ",""," FRONT ST W ","",1928-09-18T00:00:00.0000000,43.6459961,-79.37911,2009-04-22T00:00:00.0000000,18965,17115
60," BAY ST ",""," WELLINGTON ST W ","",1928-09-28T00:00:00.0000000,43.6473465,-79.3797,2009-08-12T00:00:00.0000000,16188,32319
61," BAY ST ",""," KING ST W ","",1927-11-03T00:00:00.0000000,43.64865,-79.3802643,2016-11-10T00:00:00.0000000,15543,47561
62," BAY ST ",""," ADELAIDE ST W ","",1928-09-26T00:00:00.0000000,43.6498756,-79.38082,2016-11-10T00:00:00.0000000,16489,28424
63," BAY ST ",""," RICHMOND ST W ","",1930-12-30T00:00:00.0000000,43.651226,-79.3814545,2016-11-10T00:00:00.0000000,10403,26445
64," BAY ST ",""," QUEEN ST W ","",1927-11-03T00:00:00.0000000,43.65189,-79.3817,2016-11-10T00:00:00.0000000,15397,20612
65," BAY ST ",""," ALBERT ST ","",1948-11-22T00:00:00.0000000,43.6529655,-79.38263,2016-11-10T00:00:00.0000000,9430,9629
66," DUNDAS ST W ",""," BAY ST ","",1928-06-28T00:00:00.0000000,43.65572,-79.3837357,2015-04-13T00:00:00.0000000,16598,31918
67," BAY ST ",""," GERRARD ST W ","",1941-04-07T00:00:00.0000000,43.6584969,-79.3848648,2009-07-23T00:00:00.0000000,19660,12211
68," BAY ST ",""," COLLEGE ST ","",1928-01-28T00:00:00.0000000,43.6608124,-79.38586,2011-07-19T00:00:00.0000000,17491,24779
69," BAY ST ",""," WELLESLEY ST W ","",1930-12-30T00:00:00.0000000,43.6643677,-79.38715,2016-11-10T00:00:00.0000000,16636,18418
70," BAY ST ",""," BLOOR ST W ","",1928-07-21T00:00:00.0000000,43.6697,-79.3894653,2018-01-11T00:00:00.0000000,19112,29629
71," YORK ST ",""," WELLINGTON ST W ","",1928-06-22T00:00:00.0000000,43.646637,-79.383,2017-06-21T00:00:00.0000000,5575,32338
72," KING ST W ",""," YORK ST ","",1927-11-03T00:00:00.0000000,43.647934,-79.38353,2016-11-10T00:00:00.0000000,12474,20091
73," YORK ST ",""," ADELAIDE ST W ","",1928-11-06T00:00:00.0000000,43.6491966,-79.38407,2010-07-27T00:00:00.0000000,14130,9142
74," YORK ST ",""," RICHMOND ST W ","",1928-11-06T00:00:00.0000000,43.6505,-79.38462,2017-01-18T00:00:00.0000000,9677,11122
75," UNIVERSITY AVE ",""," YORK ST "," FRONT ST W ",1928-06-14T00:00:00.0000000,43.64529,-79.38248,2016-09-17T00:00:00.0000000,16857,17564
76," UNIVERSITY AVE ",""," WELLINGTON ST W ","",1932-02-17T00:00:00.0000000,43.6464043,-79.38408,2015-04-20T00:00:00.0000000,18390,18152
77," UNIVERSITY AVE ",""," KING ST W ","",1932-02-15T00:00:00.0000000,43.6476555,-79.38479,2016-09-17T00:00:00.0000000,16694,8406
78," UNIVERSITY AVE ",""," ADELAIDE ST W ","",1932-12-02T00:00:00.0000000,43.6488571,-79.38548,2016-09-17T00:00:00.0000000,20740,5715
79," UNIVERSITY AVE ",""," RICHMOND ST W ","",1932-02-15T00:00:00.0000000,43.65014,-79.38624,2016-09-17T00:00:00.0000000,20727,5525
80," UNIVERSITY AVE ",""," QUEEN ST W ","",1932-05-15T00:00:00.0000000,43.6508255,-79.38663,2016-09-17T00:00:00.0000000,23078,10824
81," UNIVERSITY AVE ",""," DUNDAS ST W ","",1928-06-28T00:00:00.0000000,43.65481,-79.38848,2016-11-10T00:00:00.0000000,30191,28927
82," UNIVERSITY AVE ",""," ELM ST ","",1958-06-17T00:00:00.0000000,43.6563225,-79.38896,2016-11-10T00:00:00.0000000,26595,17276
83," UNIVERSITY AVE ",""," COLLEGE ST ","",1928-06-28T00:00:00.0000000,43.6598473,-79.39049,2017-01-21T00:00:00.0000000,20732,12177
84," QUEENS PARK CRES E ",""," WELLESLEY ST W ","",1950-07-26T00:00:00.0000000,43.66361,-79.390625,2016-11-09T00:00:00.0000000,15472,5941
85," QUEENS PARK CRES E "," 125m NORTH OF "," ST JOSEPH ST ","",1947-11-24T00:00:00.0000000,43.6659355,-79.39188,2009-12-08T00:00:00.0000000,12427,1217
86," AVENUE RD ",""," BLOOR ST W ","",1928-07-21T00:00:00.0000000,43.6686859,-79.39412,2018-01-11T00:00:00.0000000,24059,14885
87," EGLINTON AVE E ",""," BRENTCLIFFE RD ","",1966-07-04T00:00:00.0000000,43.7145844,-79.3597946,2011-03-16T00:00:00.0000000,26029,1107
88," EGLINTON AVE E ",""," LAIRD DR ","",1958-01-31T00:00:00.0000000,43.7135735,-79.36475,2017-04-22T00:00:00.0000000,19362,2018
89," EGLINTON AVE E ",""," RUMSEY RD ","",1958-12-29T00:00:00.0000000,43.7125626,-79.369606,2012-03-21T00:00:00.0000000,18995,716
90," EGLINTON AVE E ",""," BAYVIEW AVE ","",1960-03-21T00:00:00.0000000,43.7110558,-79.37711,2012-03-29T00:00:00.0000000,30378,2880
91," EGLINTON AVE E ",""," BANFF RD ","",1953-08-10T00:00:00.0000000,43.71001,-79.38222,2010-07-28T00:00:00.0000000,16885,841
92," MOUNT PLEASANT RD ",""," EGLINTON AVE E ","",1939-06-29T00:00:00.0000000,43.708416,-79.39015,2017-01-09T00:00:00.0000000,20734,6602
93," EGLINTON AVE E ",""," REDPATH AVE ","",1961-05-30T00:00:00.0000000,43.7078667,-79.39279,2009-08-25T00:00:00.0000000,14372,6034
94," EGLINTON AVE W ",""," DUPLEX AVE ","",1953-10-04T00:00:00.0000000,43.7063446,-79.40025,2012-10-29T00:00:00.0000000,15743,1967
95," EGLINTON AVE W ",""," ORIOLE PKWY ","",1954-12-24T00:00:00.0000000,43.70511,-79.40613,2012-10-29T00:00:00.0000000,13295,488
96," AVENUE RD ",""," EGLINTON AVE W ","",1937-01-08T00:00:00.0000000,43.70461,-79.40848,2012-10-15T00:00:00.0000000,26329,3717
97," EGLINTON AVE W ",""," HEDDINGTON AVE ","",1952-12-20T00:00:00.0000000,43.703476,-79.41388,2011-04-18T00:00:00.0000000,14096,2607
98," EGLINTON AVE W ",""," CHAPLIN CRES ","",1967-01-01T00:00:00.0000000,43.702713,-79.41744,2012-10-15T00:00:00.0000000,19751,1037
99," EGLINTON AVE W ",""," SPADINA RD ","",1976-08-09T00:00:00.0000000,43.7023621,-79.41908,2012-10-29T00:00:00.0000000,20620,416
100," BATHURST ST ",""," EGLINTON AVE W ","",1967-01-01T00:00:00.0000000,43.7009773,-79.42554,2015-04-11T00:00:00.0000000,20547,2504
101," EGLINTON AVE W ",""," GLEN CEDAR RD "," OLD PARK RD ",1968-07-10T00:00:00.0000000,43.6998253,-79.43096,2013-07-09T00:00:00.0000000,15770,783
102," EGLINTON AVE W ",""," MARLEE AVE ","",1959-02-12T00:00:00.0000000,43.6980476,-79.43938,2012-10-30T00:00:00.0000000,17430,1355
103," EGLINTON AVE W ",""," OAKWOOD AVE ","",1958-01-31T00:00:00.0000000,43.6972923,-79.44279,2012-10-29T00:00:00.0000000,17171,3006
104," EGLINTON AVE W ",""," NORTHCLIFFE BLVD ","",1958-01-31T00:00:00.0000000,43.6962433,-79.4476852,2018-01-10T00:00:00.0000000,7308,2900
105," DUFFERIN ST ",""," EGLINTON AVE W ","",1963-11-13T00:00:00.0000000,43.6956825,-79.4502945,2016-04-18T00:00:00.0000000,22212,8427
106," EGLINTON AVE W ",""," ENNERDALE RD ","",1958-01-31T00:00:00.0000000,43.6949844,-79.453476,2012-03-21T00:00:00.0000000,9802,3069
107," AVENUE RD "," 30m NORTH OF "," ELGIN AVE ","",1989-12-09T00:00:00.0000000,43.6721344,-79.39562,2016-10-18T00:00:00.0000000,14811,2673
108," AVENUE RD ",""," DAVENPORT RD ","",1932-11-03T00:00:00.0000000,43.6747055,-79.39665,2016-11-10T00:00:00.0000000,31510,4661
109," AVENUE RD ",""," DUPONT ST ","",1950-07-25T00:00:00.0000000,43.67719,-79.3975754,2010-08-04T00:00:00.0000000,16518,642
110," AVENUE RD ",""," COTTINGHAM ST ","",1948-11-19T00:00:00.0000000,43.6795464,-79.39855,2012-01-24T00:00:00.0000000,18929,662
111," AVENUE RD ",""," BALMORAL AVE ","",1953-03-02T00:00:00.0000000,43.6843224,-79.4005,2015-11-02T00:00:00.0000000,23332,1605
112," ST CLAIR AVE W ",""," AVENUE RD ","",1929-08-26T00:00:00.0000000,43.6866226,-79.40148,2016-04-18T00:00:00.0000000,29303,4696
113," AVENUE RD ",""," LONSDALE RD "," ORIOLE PKWY ",1964-01-17T00:00:00.0000000,43.690773,-79.40303,2016-04-16T00:00:00.0000000,19162,807
114," ORIOLE PKWY ",""," GORMLEY AVE ","",1957-01-28T00:00:00.0000000,43.69373,-79.4018555,2016-04-13T00:00:00.0000000,19054,195
115," ORIOLE PKWY ",""," CHAPLIN CRES ","",1950-07-28T00:00:00.0000000,43.69788,-79.40323,2016-04-18T00:00:00.0000000,14555,716
116," AVENUE RD ",""," CHAPLIN CRES ","",1948-09-12T00:00:00.0000000,43.69876,-79.4060745,2012-04-11T00:00:00.0000000,19127,601
117," AVENUE RD ",""," ST CLEMENTS AVE ","",1946-06-20T00:00:00.0000000,43.7103348,-79.41112,2013-01-15T00:00:00.0000000,18012,970
118," AVENUE RD ",""," GLENGROVE AVE W ","",1948-09-24T00:00:00.0000000,43.71696,-79.4134445,2017-04-06T00:00:00.0000000,22274,416
119," AVENUE RD ",""," LAWRENCE AVE W ","",1958-01-31T00:00:00.0000000,43.72224,-79.41559,2013-09-04T00:00:00.0000000,27712,2674
120," AVENUE RD ",""," FAIRLAWN AVE ","",1958-01-31T00:00:00.0000000,43.7279,-79.41789,2012-01-23T00:00:00.0000000,20920,1089
121," AVENUE RD ",""," BROOKE AVE ","",1958-01-31T00:00:00.0000000,43.7332,-79.41951,2010-01-19T00:00:00.0000000,22365,1366
122," AVENUE RD ",""," DUNBLAINE AVE ","",1957-07-18T00:00:00.0000000,43.73591,-79.4201,2010-12-14T00:00:00.0000000,16556,638
123," AVENUE RD ",""," WILSON AVE ","",1958-01-31T00:00:00.0000000,43.7398643,-79.42164,2013-09-04T00:00:00.0000000,33867,1383
124," YONGE ST ",""," YORK MILLS RD "," WILSON AVE ",1958-01-31T00:00:00.0000000,43.74412,-79.40672,2010-05-26T00:00:00.0000000,38102,1068
125," YONGE ST ",""," SHEPPARD AVE ","",1958-01-31T00:00:00.0000000,43.7615128,-79.4109039,2016-05-18T00:00:00.0000000,38219,12257
126," YONGE ST ",""," EMPRESS AVE "," PARK HOME AVE ",1959-01-29T00:00:00.0000000,43.7692947,-79.41293,2016-05-18T00:00:00.0000000,21274,11387
127," YONGE ST ",""," CHURCH AVE "," CHURCHILL AVE ",1960-07-27T00:00:00.0000000,43.7738,-79.41403,2016-05-18T00:00:00.0000000,20746,5164
128," YONGE ST ",""," FINCH AVE ","",1958-01-31T00:00:00.0000000,43.77979,-79.41556,2014-05-07T00:00:00.0000000,29978,13027
129," YONGE ST ",""," CUMMER AVE "," DREWRY AVE ",1958-01-31T00:00:00.0000000,43.78708,-79.41733,2016-09-27T00:00:00.0000000,28482,2794
130," YONGE ST ",""," MADAWASKA AVE "," MOORE PARK AVE ",1958-01-31T00:00:00.0000000,43.7938156,-79.41899,2014-05-07T00:00:00.0000000,25570,1461
131," YONGE ST ",""," STEELES AVE ","",1958-01-31T00:00:00.0000000,43.79805,-79.42007,2013-10-08T00:00:00.0000000,42005,6483
132," MOUNT PLEASANT RD ",""," ELM AVE ","",1950-02-06T00:00:00.0000000,43.6745758,-79.38016,2016-11-01T00:00:00.0000000,15595,1057
133," MOUNT PLEASANT RD ",""," INGLEWOOD DR ","",1950-05-19T00:00:00.0000000,43.68832,-79.3835449,2017-01-17T00:00:00.0000000,16844,493
134," MOUNT PLEASANT RD ",""," ST CLAIR AVE E ","",1950-05-23T00:00:00.0000000,43.6903725,-79.3832855,2017-01-14T00:00:00.0000000,16436,366
135," MOUNT PLEASANT RD ",""," MOORE AVE ","",1957-02-15T00:00:00.0000000,43.6936035,-79.38462,2017-01-14T00:00:00.0000000,14138,237
136," MOUNT PLEASANT RD ",""," MERTON ST ","",1948-09-12T00:00:00.0000000,43.698204,-79.38645,2017-01-17T00:00:00.0000000,19066,744
137," MOUNT PLEASANT RD ",""," DAVISVILLE AVE ","",1948-09-28T00:00:00.0000000,43.70032,-79.38694,2017-01-09T00:00:00.0000000,20037,2463
138," MOUNT PLEASANT RD ",""," MANOR RD E ","",1957-02-17T00:00:00.0000000,43.70431,-79.38853,2013-03-04T00:00:00.0000000,16260,1698
139," MOUNT PLEASANT RD ",""," BROADWAY AVE ","",1953-02-16T00:00:00.0000000,43.71113,-79.39118,2017-01-09T00:00:00.0000000,16019,1976
140," MOUNT PLEASANT RD ",""," BLYTHWOOD RD ","",1948-08-22T00:00:00.0000000,43.7178841,-79.3941345,2017-01-19T00:00:00.0000000,17509,381
141," MOUNT PLEASANT RD ",""," ST LEONARDS AVE ","",1966-08-14T00:00:00.0000000,43.72231,-79.39569,2017-01-19T00:00:00.0000000,11213,186
142," MOUNT PLEASANT RD ",""," LAWRENCE AVE E ","",1953-02-23T00:00:00.0000000,43.72624,-79.39679,2017-01-16T00:00:00.0000000,16832,290
143," KINGSTON RD ",""," MORNINGSIDE AVE ","",1962-03-23T00:00:00.0000000,43.7706032,-79.18688,2016-02-27T00:00:00.0000000,25440,2070
144," KINGSTON RD ",""," LAWRENCE AVE E ","",1960-01-21T00:00:00.0000000,43.7676544,-79.18955,2016-04-20T00:00:00.0000000,32159,2590
145," KINGSTON RD ",""," GALLOWAY RD ","",1958-01-31T00:00:00.0000000,43.76211,-79.19473,2014-10-22T00:00:00.0000000,23952,850
146," KINGSTON RD ",""," GUILDWOOD PKWY "," CROMWELL RD ",1962-12-11T00:00:00.0000000,43.74965,-79.20599,2010-03-25T00:00:00.0000000,24763,258
147," KINGSTON RD ",""," EGLINTON AVE E ","",1956-05-04T00:00:00.0000000,43.7437553,-79.2116547,2014-10-22T00:00:00.0000000,26434,306
148," KINGSTON RD ",""," MARKHAM RD ","",1960-10-31T00:00:00.0000000,43.7388153,-79.21704,2014-10-22T00:00:00.0000000,21905,652
149," KINGSTON RD ",""," MCCOWAN RD "," CATHEDRAL BLUFFS DR ",1964-12-02T00:00:00.0000000,43.7251129,-79.23245,2009-10-15T00:00:00.0000000,29118,1137
150," KINGSTON RD ",""," ST CLAIR AVE E "," BROOKLAWN AVE ",1958-01-12T00:00:00.0000000,43.72186,-79.23621,2016-12-14T00:00:00.0000000,22911,604
151," KINGSTON RD ",""," MIDLAND AVE ","",1957-01-01T00:00:00.0000000,43.71111,-79.2482,2010-06-24T00:00:00.0000000,21013,1644
152," KINGSTON RD ",""," SANDOWN AVE ","",1963-01-21T00:00:00.0000000,43.70877,-79.2497559,2009-12-03T00:00:00.0000000,22525,701
153," KINGSTON RD ",""," CLAREMORE AVE "," CLIFFSIDE DR ",1958-01-31T00:00:00.0000000,43.70393,-79.25278,2009-12-07T00:00:00.0000000,20066,394
154," KINGSTON RD ",""," BIRCHMOUNT RD ","",1961-06-23T00:00:00.0000000,43.6930122,-79.26233,2017-04-22T00:00:00.0000000,13485,286
155," KINGSTON RD ",""," BIRCHCLIFF AVE ","",1958-01-31T00:00:00.0000000,43.6914673,-79.26476,2015-11-11T00:00:00.0000000,10312,559
156," KINGSTON RD ",""," WARDEN AVE ","",1958-01-31T00:00:00.0000000,43.68777,-79.27093,2017-04-22T00:00:00.0000000,14473,700
157," KINGSTON RD ",""," FALLINGBROOK RD ","",1958-01-31T00:00:00.0000000,43.68227,-79.27922,2015-11-11T00:00:00.0000000,12928,895
158," KINGSTON RD ",""," VICTORIA PARK AVE ","",1948-12-15T00:00:00.0000000,43.68081,-79.28404,2017-04-22T00:00:00.0000000,14869,2506
159," KINGSTON RD ",""," BEECH AVE ","",1953-05-03T00:00:00.0000000,43.68026,-79.2907,2016-12-13T00:00:00.0000000,11564,821
160," KINGSTON RD ",""," MAIN ST "," SOUTHWOOD DR ",1948-12-15T00:00:00.0000000,43.6789,-79.29801,2017-04-22T00:00:00.0000000,16657,1640
161," KINGSTON RD ",""," WAVERLEY RD "," BROOKSIDE DR ",1957-03-01T00:00:00.0000000,43.67695,-79.30411,2015-11-11T00:00:00.0000000,12652,778
162," KINGSTON RD ",""," WOODBINE AVE ","",1929-06-09T00:00:00.0000000,43.67394,-79.3079,2017-04-22T00:00:00.0000000,23556,954
163," KINGSTON RD ",""," DUNDAS ST E "," DIXON AVE ",1953-03-03T00:00:00.0000000,43.6699524,-79.31117,2017-04-22T00:00:00.0000000,11441,1020
164," KINGSTON RD ",""," BRIMLEY RD "," BRIMLEY RD S ",1964-05-11T00:00:00.0000000,43.71824,-79.24037,2010-06-28T00:00:00.0000000,21729,790
165," CHURCH ST ",""," PARK RD ","",1966-08-08T00:00:00.0000000,43.67222,-79.38479,2016-11-08T00:00:00.0000000,10903,2212
166," UNIVERSITY AVE ",""," ARMOURY ST ","",1965-09-17T00:00:00.0000000,43.6531,-79.38759,2016-11-10T00:00:00.0000000,23658,7660
167," BAYVIEW AVE ",""," NESBITT DR ","",1959-12-17T00:00:00.0000000,43.6941032,-79.36629,2016-05-19T00:00:00.0000000,18084,52
168," QUEEN ST E ",""," COXWELL AVE ","",1948-10-15T00:00:00.0000000,43.6663437,-79.31656,2016-05-07T00:00:00.0000000,9821,2920
169," BAYVIEW AVE ",""," MOORE AVE ","",1960-03-15T00:00:00.0000000,43.69673,-79.3717346,2018-01-17T00:00:00.0000000,22923,753
170," BAYVIEW AVE ",""," MCRAE DR "," MERTON ST ",1962-07-27T00:00:00.0000000,43.70096,-79.37332,2010-12-14T00:00:00.0000000,20257,982
171," BAYVIEW AVE ",""," MILLWOOD RD ","",1960-03-21T00:00:00.0000000,43.704258,-79.37459,2010-12-07T00:00:00.0000000,18168,2599
172," BAYVIEW AVE ",""," MANOR RD E "," FLEMING CRES ",1958-09-26T00:00:00.0000000,43.7069168,-79.37562,2016-06-14T00:00:00.0000000,13751,2011
173," AVENUE RD ",""," EDMUND AVE ","",1965-08-16T00:00:00.0000000,43.68257,-79.39976,2014-01-22T00:00:00.0000000,21764,702
174," QUEEN ST E ",""," RIVER ST ","",1954-04-11T00:00:00.0000000,43.6574,-79.35654,2014-05-22T00:00:00.0000000,8869,1047
175," RIVER ST ",""," SHUTER ST ","",1957-07-01T00:00:00.0000000,43.6595,-79.3574448,2008-06-16T00:00:00.0000000,6776,718
176," GERRARD ST E ",""," RIVER ST ","",1954-06-15T00:00:00.0000000,43.66369,-79.35923,2016-08-03T00:00:00.0000000,12274,1068
